




		
		Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Oficina Municipal de Información al Consumidor;sector-publico;información, consumidor, consumo, OMIC, www.madrid.es;12/03/2014;;;;continua;Dirección General de Comercio, Hostelería y Consumo;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;10607;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2a470dbd701e3410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Oficinas de Atención al Ciudadano de Policía Municipal;seguridad;oficina policia OAC;08/07/2014;;;;continua;Dirección General de la Policía Municipal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;760928;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2dcb729e61096410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Oficinas de Atención Integral al Contribuyente (OAIC);hacienda;Oficina, atención, contribuyente, OAIC, Madrid, Ayuntamiento, www.madrid.es;12/04/2019;;;;continua;Agencia Tributaria de Madrid;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;748716;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9996c02cfb3c9610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Oficinas de Línea Madrid;sector-publico;oficinas, línea madrid, atención ciudadano, www.madrid.es;12/03/2014;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;32248;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=de8005fdca003410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Oficinas de registro;sector-publico;oficinas, registro, www.madrid.es;12/03/2014;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;23354;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a64c53224b3b3410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Oficinas de turismo en Madrid;turismo;turismo, www.madrid.es;22/05/2014;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;16937;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7240e6bffbfe5410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Ordenes de ejecución para el cumplimiento del deber de conservación y rehabilitación exigidas a los propietarios;urbanismo-infraestructuras;enajenaciones,patrimonio,municipal,suelo;09/08/2019;04/02/2025;;31/12/2024;trimestral;Dirección General de la Edificación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;3786;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=e9ab10e79638c610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Padrón Municipal;demografia;estadística, padrón, población, habitantes;12/03/2014;13/02/2025;;;mensual;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,xml,;22749;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=1d755cde99be2410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Padrón Municipal. Histórico;demografia;padron estadistica demografia historico municipal;07/10/2014;13/02/2025;;;mensual;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,txt,xml,;191883;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=5deb7700f69e8410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Panel de indicadores de distritos y barrios de Madrid. Estudio sociodemográfico;sector-publico;panel, indicadores, distritos, barrios, estudio, sociodemográfico;15/02/2017;13/11/2024;01/01/2016;31/10/2024;anual;Dirección General de Coordinación Territorial y Desconcentración;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;44556;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=71359583a773a510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Perfiles de solicitantes de viviendas de la Empresa Municipal de la Vivienda y el Suelo (EMVS);vivienda;Vivienda municipal, Vivienda pública,  alquiler arrendamiento ;30/07/2021;07/07/2023;;30/04/2023;anual;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;1329;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=de68fac0f42fa710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
PGOUM 97. Condiciones de la Edificación;urbanismo-infraestructuras;Protección del Patrimonio, Catálogo, Condiciones de edificación, Plan General, geoportal;26/06/2017;;;17/04/1997;sindefinir;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;zip,shp,;4531;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=becc1cae5c4dc510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
PGOUM 97. Plano de ordenación;urbanismo-infraestructuras;PGOUM, edificabilidad, urbanismo, ordenación, planeamiento, Plan General, geoportal;16/06/2017;;;17/04/1997;sindefinir;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;zip,shp,;14699;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=98fca5b5cfbac510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Placas conmemorativas de Madrid;cultura-ocio;Placas conmemorativas, Memoria de Madrid, Biblioteca Digital memoriademadrid, personajes, historia de Madrid, www.memoriademadrid.es;10/06/2019;06/02/2025;;18/11/2024;semestral;Dirección General de Bibliotecas, Archivos y Museos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,geo,xml,;14770;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=280dcd80f310a610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Placas Stolpersteine instaladas en la ciudad Madrid;sociedad-bienestar;Placas, Stolpersteine;23/06/2020;28/11/2024;;01/02/2024;anual;Dirección General de Coordinación Territorial y Desconcentración;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,geo,;10692;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d0802ea16a892710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planeamiento urbanístico. Expedientes tramitados;urbanismo-infraestructuras;PGOUM, modificaciones aprobadas, planes parciales, urbanismo, plan general ordenación urbana, geoportal;18/05/2017;;;;diaria;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,shp,;1125;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=03d9b6909ca1c510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planes de formación del Ayuntamiento de Madrid de empleados públicos;sector-publico;formacion, empleados pubicos, plan;28/02/2018;28/05/2024;;27/05/2024;semestral;Dirección General de Planificación de Recursos Humanos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xls,;13242;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9c759f8885b61610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Planes de gestión del arbolado de zonas verdes y del viario;medio-ambiente;poda arbolado;10/08/2017;28/01/2025;;;trimestral;Dirección General de Gestión del Agua y Zonas Verdes;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;25752;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=8ec815647a88d510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Plantilla municipal: situaciones administrativas, permisos y premios;sector-publico;situaciones administrativas, permisos, premios, empleo público;30/07/2024;20/05/2024;01/01/2021;31/12/2023;anual;Dirección General de Planificación de Recursos Humanos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,xls,xml,;378;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=a6c3145ded49f810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Plazas de estacionamiento para personas de movilidad reducida;transporte;movilidad reducida estacionamiento para minusválidos, aparcamientos estacionamientos;12/08/2014;16/09/2024;;03/09/2024;anual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,kmz,geo,;37781;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=dd5900ac205a7410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Población por distrito y barrio a 1 de enero;demografia;demografía, padrón, habitantes, estadística;23/03/2022;11/07/2023;01/01/2018;01/01/2023;anual;Dirección General de Contratación y Servicios - Subdirección General de Estadística;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;4440;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0cccaebc07c1f710VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Policía Municipal. Datos estadísticos actuaciones Policía Municipal;seguridad;policia convivencia, seguridad vial, detenidos imputados;09/04/2015;23/01/2025;01/01/2014;31/12/2024;mensual;Dirección General de la Policía Municipal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;180663;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=bffff1d2a9fdb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Presupuestos. Ejecución anual histórico;sector-publico;gastos, ingresos, liquidación, ejecución presupuestaria, ejercicios cerrados, inversiones, Presupuestos Abiertos;04/02/2015;27/03/2024;01/01/2011;31/12/2023;anual;Dirección General de Presupuestos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;158507;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b404f67f5b35b410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Presupuestos. Ejecución mensual ejercicio en curso;sector-publico;gastos, ingresos, ejecución presupuestaria, mensual,  inversiones, Presupuestos Abiertos;07/03/2023;17/12/2024;01/01/2024;30/11/2024;mensual;Dirección General de Presupuestos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;8065;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=c58a15fef2bb6810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Presupuestos. Presupuesto General 2025;sector-publico;Presupuesto general , 2025;17/01/2024;02/01/2025;;;sindefinir;Dirección General de Presupuestos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;610;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=09506692c611d810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Presupuestos. Proyecto de Presupuesto General 2025;sector-publico;proyecto, Presupuesto 2025;20/11/2023;08/11/2024;;;sindefinir;Dirección General de Presupuestos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;1328;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9dc72ea3c68bb810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Presupuestos. Proyectos de Presupuesto de ejercicios anteriores;sector-publico;proyecto, presupuestos, gastos, ingresos, inversiones;19/11/2018;07/11/2024;01/01/2017;31/12/2023;anual;Dirección General de Presupuestos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;27461;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=38b4f1fb4508a710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Principales parques y jardines municipales;medio-ambiente;parques, jardines, Retiro, Rosaleda, Jardín Botánico, Casa de Campo, www.madrid.es;12/03/2014;;;;continua;Dirección General de Gestión del Agua y Zonas Verdes;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;50986;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=dc758935dde13410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Publicidad institucional;sector-publico;Publicidad institucional ,  inversiones en publicidad , prensa , medios de comunicacion;17/03/2016;25/10/2024;01/01/2004;30/06/2024;trimestral;Dirección General de Comunicación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;26999;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=1c2e2c13f9483510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Puntos de información turística;turismo;información, turistas, equipamientos, turismo, www.madrid.es;12/03/2014;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;15587;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ee5e692e74c63410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Puntos Limpios de Proximidad;medio-ambiente;puntos,limpios,proximidad;05/03/2018;03/12/2024;;15/10/2024;trimestral;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;42229;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b0423150b95f1610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Puntos Limpios Fijos;medio-ambiente;resíduos, puntos, limpios, reciclaje, www.madrid.es;12/03/2014;;;;continua;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;172037;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=2bb427e0cb503410VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Puntos Limpios Móviles;medio-ambiente;resíduos, puntos, limpios, reciclaje, depósito de residuos, basura;14/03/2017;09/05/2023;;31/12/2023;anual;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;48642;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0803d8bf938ba510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Radares;transporte;radares calle 30 , radar tramo;10/06/2016;16/07/2024;;;sindefinir;Dirección General de la Policía Municipal y Dirección General de Gestión y Vigilancia de la Circulación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,geo,kml,;36358;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4678f7de62435510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Ranking de vulnerabilidad de los distritos y barrios de Madrid;sector-publico;Ranking, vulnerabilidad, distritos, barrios ;18/01/2019;15/12/2020;01/01/2018;31/12/2019;informacionhistorica;Dirección General de Participación Ciudadana;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,;10804;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=d029ed1e80d38610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Recogida de residuos;medio-ambiente;residuos, residuo, recogida;07/08/2017;11/02/2025;01/01/2017;31/12/2024;trimestral;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;20030;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=86e4ee950779d510VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Reconocimiento de compatibilidad del personal al servicio del Ayuntamiento de Madrid y de su sector público;sector-publico;funcionariado compatibilidades, segundas actividades de funcionarios;14/12/2015;23/01/2025;01/01/2014;31/12/2024;trimestral;Dirección General de Función Pública;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;9355;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b7e25832860a1510VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Red topográfica de Madrid (RTM);urbanismo-infraestructuras;red, topografia, geoportal;20/02/2018;;;;anual;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,zip,shp,;5797;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=49713c7cfc981610VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de Puestos de Trabajo (RPT) del Ayuntamiento de Madrid y Organismos Autónomos 2022;sector-publico;rpt, puestos empleados trabajadores, puestos de trabajo;27/04/2022;25/01/2023;01/01/2022;31/12/2022;informacionhistorica;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;11247;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=783504e3baa60810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de Puestos de Trabajo (RPT) del Ayuntamiento de Madrid y Organismos Autónomos 2023;sector-publico;rpt, puestos empleados trabajadores, puestos de trabajo;21/04/2023;23/01/2024;01/01/2023;31/12/2023;informacionhistorica;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;4007;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4151f72e953a7810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de Puestos de Trabajo (RPT) del Ayuntamiento de Madrid y Organismos Autónomos 2024;sector-publico;rpt, puestos empleados trabajadores, puestos de trabajo;18/04/2024;22/01/2025;01/01/2024;31/12/2024;trimestral;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;4919;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=05598fbd8dfee810VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de situados aislados en vía pública;comercio;Puesto callejero, venta ambulante, ocupación, mercadillo, distritos, churros, flores, melones, sandias, helados, mercadillos, artesanía, ONCE, frutos secos, patatas;02/03/2023;08/11/2024;;08/11/2024;anual;Dirección General de Coordinación Territorial y Desconcentración;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;1546;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6626d8e1d1e66810VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Retirada y recogida de animales muertos;medio-ambiente;residuos, residuo, recogida  perro, gato, rata, paloma ;30/08/2021;03/02/2025;01/06/2021;31/12/2024;mensual;Dirección General de Servicios de Limpieza y Residuos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;2703;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=492536fc9080a710VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Retribuciones de concejales, directivos y eventuales del Ayuntamiento de Madrid;sector-publico;personal eventual, retribuciones, puestos de eventuales, personal directivo personal político ,sueldo;05/05/2016;22/01/2025;31/12/2015;31/12/2024;trimestral;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;63354;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=f8b710a5afc92510VgnVCM1000000b205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Retribuciones del personal funcionario y laboral del Ayuntamiento de Madrid;sector-publico;sueldo;18/04/2017;26/11/2024;;07/08/2024;trimestral;Dirección General de Costes y Gestión de Personal;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;202502;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=ad1c08714442b510VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Centros de Educación;educacion;educación, centros de educación;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;32760;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6ffd9e1d29efb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Sedes. Oficinas de Correos;sector-publico;oficinas de correos, correos;09/06/2015;;;;continua;Dirección General de Atención a la Ciudadanía;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,json,api,rdf,geo,xml,;24847;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=b2c571b3abefb410VgnVCM2000000c205a0aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
